Filament,Productionline,Manufacturer,Model,Source,PrintTempFirstLayer (ºC),PrintTempOtherLayers (ºC),BedTempFrstLay (ºC),BedTempOthLay (ºC),EnclTempFrstLay (ºC),EnclTempOthLay (ºC),ExtrMultiplier,PressAdvaEnab,PressAdv,SmthTime,Cooling,FanSpeedMin,FanSpeedMax,BridgesFanSpeed,ChamberAuxFanSpd,DisFanFirstLayers,FllFanSpeedAt,MaxVolSpeed (mm^3/s),RetrLengt (mm),RetrSpd (mm/s),DeRetrtSpd (mm/s),RecommSpsMax (mm/s),RecommSpsMax
Hatchbox,PLA,AnkerMake,M5,Datasheet,210,200,60,50,45,40,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,ABS,AnkerMake,M5C,Datasheet,240,230,100,90,80,70,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,PETG,Anycubic,Kobra 2,Datasheet,230,220,80,70,65,60,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,TPU,Anycubic,Kobra 2 Max,Datasheet,220,210,60,50,45,40,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,Wood PLA,Anycubic,Kobra 2 Neo,Datasheet,200,190,60,50,45,40,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,Flexible TPU,Anycubic,Kobra 2 Plus,Datasheet,220,210,60,50,45,40,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,PETG-CF,Anycubic,Kobra 2 Pro,Datasheet,240,230,90,80,75,70,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,ABS-CF,COMGROW,T500,Datasheet,240,230,100,90,80,70,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,HIPS,Creality,CR-10 Max,Datasheet,240,230,100,90,80,70,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,PVA,Creality,CR-10 SE,Datasheet,200,190,60,50,45,40,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,Nylon,Creality,CR-10 Smart Pro,Datasheet,225,215,83,73,66,59,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,ASA,Creality,CR-200B Pro,Datasheet,226,216,84,74,67,60,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,PC,Creality,CR-3040 Pro,Datasheet,226,216,86,76,68,60,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,PLA Silk,Creality,CR-5 Pro High-​Temp,Datasheet,226,216,87,77,69,61,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,PLA Glow in the Dark,Creality,CR-​M4,Datasheet,226,216,88,78,70,62,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,Conductive PLA,Creality,CR-10 V3,Datasheet,227,217,89,79,71,63,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,Marble PLA,Creality,CR-10 Max,Datasheet,227,217,90,80,72,64,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,Bronze PLA,Creality,CR-10 SE,Datasheet,227,217,91,81,73,65,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,Copper PLA,Creality,CR-10 Smart Pro,Datasheet,227,217,93,83,74,65,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
Hatchbox,Wood Filament (Mixed),Creality,CR-200B Pro,Datasheet,228,218,94,84,75,66,2,TRUE,1,0,TRUE,10,80,60,40,0,50,6,30,40,50,,
